縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數
"10010","嘉義縣","10010100","義竹鄉","10010100-018","新富村",130.88,2.19,115.57,50.90361430450718583000,3.31325300206851505400,47.59036130243867077600,1436.3635057851358400
"10010","嘉義縣","10010100","義竹鄉","10010100-019","東光村",111.95,2.18,83.94,65.22727257902892595700,8.40909088997933888600,56.81818168904958707000,675.6756574141714200
"10010","嘉義縣","10010100","義竹鄉","10010100-020","東榮村",133.54,1.99,120.84,70.13574628897852357900,9.04977371470690626800,61.08597257427161731100,674.9999662500016900
"10010","嘉義縣","10010100","義竹鄉","10010100-021","龍蛟村",146.82,2.05,128.97,65.04559250746020514400,6.68693007086039492100,58.35866243659981022300,872.7272330578530400
"10010","嘉義縣","10010100","義竹鄉","10010100-022","溪洲村",112.37,2.13,109.48,76.88022262707458878300,4.45682450012026601600,72.42339812695432276600,1624.9998984375063500
"10010","嘉義縣","10010110","鹿草鄉","10010110-001","後寮村",99.63,2.79,214.83,48.90710369151064565200,9.28961746095732934200,39.61748623055331631000,426.4705756920418900
"10010","嘉義縣","10010110","鹿草鄉","10010110-002","鹿東村",127.03,2.66,205.90,51.54639161972579479500,13.14432986303007767300,38.40206175669571712200,292.1568570165322200
"10010","嘉義縣","10010110","鹿草鄉","10010110-003","鹿草村",105.28,2.68,956.67,50.55309728921117556500,10.17699113918474431500,40.37610615002643125000,396.7391261224008000
"10010","嘉義縣","10010110","鹿草鄉","10010110-004","西井村",109.64,2.58,259.20,47.73662546529153758700,12.24279834131399347600,35.49382712397754411100,289.9159639502860200
"10010","嘉義縣","10010110","鹿草鄉","10010110-005","豊稠村",204.71,2.64,107.32,30.80808075621535226200,8.41750840333752794100,22.39057235287782432200,265.9999946800001100
"10010","嘉義縣","10010110","鹿草鄉","10010110-006","重寮村",122.81,2.31,473.98,63.02652096251712798400,6.24024960024922059200,56.78627136226790739100,909.9999772500005700
"10010","嘉義縣","10010110","鹿草鄉","10010110-007","施家村",133.68,2.29,239.09,62.63736240792174942200,7.69230766413074115700,54.94505474379100826500,714.2856802721104600
"10010","嘉義縣","10010110","鹿草鄉","10010110-008","下潭村",132.31,2.38,634.90,72.31404943736766645200,9.50413221176832187700,62.80991722559934457500,660.8695508506619400
"10010","嘉義縣","10010110","鹿草鄉","10010110-009","光潭村",121.00,2.40,268.97,58.65671633036310995500,9.70149252283359325000,48.95522380752951670500,504.6153768520711300
"10010","嘉義縣","10010110","鹿草鄉","10010110-010","碧潭村",109.57,2.31,290.23,61.20401327557857311800,7.52508359945638194100,53.67892967612219117700,713.3333174814818300
"10010","嘉義縣","10010110","鹿草鄉","10010110-011","松竹村",124.82,2.51,588.13,54.13290104678622196600,7.61750403951782165400,46.51539700726840031200,610.6382848800364900
"10010","嘉義縣","10010110","鹿草鄉","10010110-012","竹山村",108.24,2.49,137.14,51.53970818226951672200,8.58995136371158612000,42.94975681855793060200,499.9999905660379100
"10010","嘉義縣","10010110","鹿草鄉","10010110-013","後堀村",113.65,2.38,365.39,53.69897952334313836300,9.82142855890123908300,43.87755096444189928000,446.7532409512566100
"10010","嘉義縣","10010110","鹿草鄉","10010110-014","三角村",100.40,2.54,352.42,51.11336027215246936000,10.02024290483781082500,41.09311736731465853500,410.1010059585757000
"10010","嘉義縣","10010110","鹿草鄉","10010110-015","下麻村",110.51,2.43,98.19,51.09489038663043701500,10.21897807732608740300,40.87591230930434961200,399.9999904761907000
"10010","嘉義縣","10010120","水上鄉","10010120-001","水上村",102.22,2.56,3440.65,36.74130818009979134400,13.64172067953985837400,23.09958750055993297000,169.3304531979903800
"10010","嘉義縣","10010120","水上鄉","10010120-002","水頭村",109.26,2.62,3097.30,38.20939332768620678700,11.49706457363157310500,26.71232875405463368200,232.3404245432322400
"10010","嘉義縣","10010120","水上鄉","10010120-003","大堀村",118.57,2.78,314.84,45.48335971039353430200,14.50079238153661459500,30.98256732885691970800,213.6612010182448000
"10010","嘉義縣","10010120","水上鄉","10010120-004","大崙村",117.10,2.91,828.52,39.65195771308144331100,10.19266624599585690100,29.45929146708558641000,289.0243884815586100
"10010","嘉義縣","10010120","水上鄉","10010120-005","塗溝村",121.45,2.61,319.04,42.35880391634750180000,9.80066443554706904400,32.55813948080043275600,332.2033841999426400
"10010","嘉義縣","10010120","水上鄉","10010120-006","粗溪村",103.83,2.65,274.34,42.95302009819377508500,12.58389260689270754500,30.36912749130106754100,241.3333317244444600
"10010","嘉義縣","10010120","水上鄉","10010120-007","下寮村",103.85,2.41,1652.95,29.76804121793296313300,6.89432989246499362600,22.87371132546796950700,331.7756978338719800
"10010","嘉義縣","10010120","水上鄉","10010120-008","三和村",116.10,2.55,1151.47,33.54210157721496062800,11.48225468929557780800,22.05984688791938282000,192.1212109568411500
"10010","嘉義縣","10010120","水上鄉","10010120-009","回歸村",93.36,2.44,612.31,39.52095796550611387600,12.27544906504356567400,27.24550890046254820200,221.9512140987508800
"10010","嘉義縣","10010120","水上鄉","10010120-010","三鎮村",96.83,2.50,824.39,34.71400387630373988900,7.69230767713548781600,27.02169619916825207300,351.2820422748194300
"10010","嘉義縣","10010120","水上鄉","10010120-011","靖和村",101.46,2.37,177.93,68.69918671260493206300,12.60162596503404079300,56.09756074757089127000,445.1612759625394900
"10010","嘉義縣","10010120","水上鄉","10010120-012","南和村",101.98,2.53,270.01,41.38613857288501131400,9.70297028742280169600,31.68316828546220961800,326.5306089129529700
"10010","嘉義縣","10010120","水上鄉","10010120-013","龍德村",105.65,2.81,927.38,46.93593311494712178600,11.83844010317657374400,35.09749301177054804200,296.4705864913494900
"10010","嘉義縣","10010120","水上鄉","10010120-014","溪洲村",102.93,2.46,381.25,47.99999993600000008500,10.26666665297777779600,37.73333328302222228900,367.5324627593186700
"10010","嘉義縣","10010120","水上鄉","10010120-015","柳林村",107.75,2.54,1318.02,34.47293445329177524000,9.91452990888060973900,24.55840454441116550200,247.7011480017175400
"10010","嘉義縣","10010120","水上鄉","10010120-016","柳鄉村",98.90,2.55,1799.16,39.49903658349451728700,10.40462427077416552900,29.09441231272035175800,279.6296279035208200
"10010","嘉義縣","10010120","水上鄉","10010120-017","柳新村",104.33,2.62,3357.70,35.17654894391968757900,12.79147234324352275600,22.38507660067616482300,174.9999990885416700
"10010","嘉義縣","10010120","水上鄉","10010120-018","寬士村",104.01,2.36,2737.13,32.37077677378839827500,5.80421599601379844200,26.56656077777459983300,457.7114405088983100
"10010","嘉義縣","10010120","水上鄉","10010120-019","民生村",110.75,2.26,9923.14,37.25314181451833850300,4.35368042892563715000,32.89946138559270135300,755.6700953023701500
"10010","嘉義縣","10010120","水上鄉","10010120-020","忠和村",102.02,2.51,639.99,37.40562797707232122400,10.02059024706891541000,27.38503773000340581300,273.2876693610433600
"10010","嘉義縣","10010120","水上鄉","10010120-021","中庄村",100.00,2.40,1581.03,37.80397933839058265400,8.69565216750504630300,29.10832717088553635200,334.7457598750359300
"10010","嘉義縣","10010120","水上鄉","10010120-022","南鄉村",117.32,3.02,95.64,39.83286902530241082800,11.97771586075527038900,27.85515316454714043900,232.5581368307193400
"10010","嘉義縣","10010120","水上鄉","10010120-023","三界村",115.34,2.72,293.41,43.26530606358461760100,7.48299318709796845300,35.78231287648664914800,478.1818094876034600
"10010","嘉義縣","10010120","水上鄉","10010120-024","國姓村",110.91,2.71,559.31,43.37078646812271183400,7.19101122787526828300,36.17977524024744355000,503.1249921386720000
"10010","嘉義縣","10010120","水上鄉","10010120-025","內溪村",102.83,2.69,530.16,31.70234451406488836500,7.23751273472220924100,24.46483177934267912400,338.0281642531244500
"10010","嘉義縣","10010120","水上鄉","10010120-026","義興村",118.97,2.51,203.43,42.92604494706423642000,9.64630223529533402700,33.27974271176890239300,344.9999942500001000
"10010","嘉義縣","10010130","中埔鄉","10010130-001","中埔村",111.96,2.73,1032.58,44.62093859594156058100,15.45126352674999023300,29.16967506919157034700,188.7850458467988500
"10010","嘉義縣","10010130","中埔鄉","10010130-002","??村",107.21,2.68,248.14,44.81792710809814130500,13.72549017685505577500,31.09243693124308553000,226.5306099333611200
"10010","嘉義縣","10010130","中埔鄉","10010130-003","龍門村",109.80,2.98,586.65,42.90484133070978075000,12.35392318471799134400,30.55091814599178940600,247.2972939554419700
"10010","嘉義縣","10010130","中埔鄉","10010130-004","裕民村",123.58,2.67,270.31,48.82260588881851508800,10.98901097175979439300,37.83359491705872069500,344.2857093673470100
"10010","嘉義縣","10010130","中埔鄉","10010130-005","金蘭村",104.17,2.76,522.97,40.89754441922307839200,12.10838271625031099400,28.78916170297276739800,237.7622360995647800
"10010","嘉義縣","10010130","中埔鄉","10010130-006","富收村",108.80,2.60,1299.15,38.27689668312177596100,10.50150020981504491600,27.77539647330673104400,264.4897948388171600
"10010","嘉義縣","10010130","中埔鄉","10010130-007","和睦村",104.19,2.54,909.13,35.70381230362763478600,11.65689149132811895500,24.04692081229951583100,206.2893075273921100
"10010","嘉義縣","10010130","中埔鄉","10010130-008","和美村",97.14,2.44,3232.06,39.08620381240653153400,10.58361591815391470300,28.50258789425261683100,269.3085998831220900
"10010","嘉義縣","10010130","中埔鄉","10010130-009","和興村",100.86,2.50,3041.08,37.87150348822738123100,11.25437062691119523000,26.61713286131618600100,236.5048539096993100
"10010","嘉義縣","10010130","中埔鄉","10010130-010","隆興村",112.68,2.72,779.57,41.39142653451059273800,12.50878424981814177800,28.88264228469245095900,230.8988751073096900
"10010","嘉義縣","10010130","中埔鄉","10010130-011","義仁村",109.77,2.84,552.80,38.11881184973695391900,9.48844883705573528300,28.63036301268121863600,301.7391278109641100
"10010","嘉義縣","10010130","中埔鄉","10010130-012","社口村",115.75,2.89,237.86,45.61839649122535954600,14.35674330990879844000,31.26165318131656110500,217.7489168062817500
