縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
10005,苗栗縣,10005040,竹南鎮,101.81,2.77,2324.62,40.94,22.68,18.26,80.51,110Y06M
10005,苗栗縣,10005050,頭份市,101.49,2.79,1965.42,39.94,20.72,19.22,92.77,110Y06M
10005,苗栗縣,10005060,後龍鎮,112.4,2.89,461.34,41.68,14.76,26.92,182.33,110Y06M
10005,苗栗縣,10005070,卓蘭鎮,109.93,2.72,210,45.19,12.25,32.94,268.93,110Y06M
10005,苗栗縣,10005080,大湖鄉,114.49,2.61,151.09,45.61,12.51,33.1,264.63,110Y06M
10005,苗栗縣,10005090,公館鄉,108.69,2.97,450.19,41.47,15.23,26.25,172.39,110Y06M
10005,苗栗縣,10005100,銅鑼鄉,113.1,2.79,217.72,43.16,13.64,29.52,216.42,110Y06M
10005,苗栗縣,10005110,南庄鄉,122.82,2.42,57.11,44.53,11.9,32.63,274.29,110Y06M
10005,苗栗縣,10005120,頭屋鄉,112.84,2.81,193.16,43.19,11.68,31.51,269.89,110Y06M
10005,苗栗縣,10005130,三義鄉,112.65,2.75,223.69,40.82,14.57,26.25,180.12,110Y06M
10005,苗栗縣,10005140,西湖鄉,127.9,2.53,161.9,44.41,8.03,36.37,452.7,110Y06M
10005,苗栗縣,10005150,造橋鄉,112.99,2.92,252.18,40.21,12.27,27.94,227.76,110Y06M
10005,苗栗縣,10005160,三灣鄉,119.39,2.69,120.07,47.92,12.82,35.1,273.9,110Y06M
10005,苗栗縣,10005170,獅潭鄉,126.2,2.38,51.63,52.74,9.2,43.54,473.28,110Y06M
10005,苗栗縣,10005180,泰安鄉,116.82,2.85,9.27,34.07,13.72,20.35,148.37,110Y06M
10007,彰化縣,10007010,彰化市,96.8,2.94,3501.29,44.11,20.2,23.9,118.31,110Y06M
10007,彰化縣,10007020,鹿港鎮,103.01,3.4,2184.25,42.77,20.8,21.97,105.61,110Y06M
10007,彰化縣,10007030,和美鎮,103.52,3.26,2249.73,38.19,18.03,20.16,111.78,110Y06M
10007,彰化縣,10007040,線西鄉,106.36,3.65,916.7,38.38,16.83,21.54,127.96,110Y06M
10007,彰化縣,10007050,伸港鄉,102.1,3.56,1692.94,38.12,19.26,18.86,97.91,110Y06M
10007,彰化縣,10007060,福興鄉,108.78,3.48,924.69,37.79,15.38,22.4,145.67,110Y06M
10007,彰化縣,10007070,秀水鄉,106.28,3.48,1323.44,38.92,18.37,20.55,111.88,110Y06M
10007,彰化縣,10007080,花壇鄉,105.18,3.11,1239.94,36.63,15.07,21.56,143.02,110Y06M
10007,彰化縣,10007090,芬園鄉,111.47,3.36,603.54,41.94,13.77,28.17,204.58,110Y06M
10007,彰化縣,10007100,員林市,97.99,3.01,3086.32,44.16,20.79,23.37,112.43,110Y06M
